index,metadata,proba canon,proba non-canon,prediction,accord
1999_Echenoz-Jean_Je-m-en-vais,canon,0.33533030364588046,0.6646696963541194,non_canon,False
1843_Balzac-Honore-de_Histoire-des-Treize,non_canon,0.7933614790918777,0.20663852090812243,canon,False
1897_Boylesve-Rene_Sainte-Marie-des-Fleurs,non_canon,0.4947707422288196,0.5052292577711804,canon,False
1878_Houssaye-Arsene_Les-Trois-duchesses_Tome-3,non_canon,0.008943444406535361,0.9910565555934646,non_canon,True
1890_Guy-de-Maupassant_L-Inutile-beaute,non_canon,0.4130248125369844,0.5869751874630156,non_canon,True
1926_Delly_L'infidele,non_canon,0.03702148539550943,0.9629785146044906,non_canon,True
1886_Margueritte-Paul_Jours-d-epreuve,non_canon,0.3534896200530016,0.6465103799469983,non_canon,True
2008_Rolin-Olivier_La-Chambre-des-cartes,non_canon,0.4161642002970832,0.5838357997029168,non_canon,True
1953_San-Antonio_Descendez-le-a-la-prochaine,non_canon,0.021875191449910004,0.9781248085500901,non_canon,True
1975_Cardinal-Marie_Les-mots-pour-le-dire,canon,0.4295898860090561,0.5704101139909438,non_canon,False
1911_Barres-Maurice_Le-culte-du-moi_1-Sous-l'œil-des-barbares-nouvelle-edition,non_canon,0.46549975170441626,0.5345002482955838,canon,False
1862_Hugo-Victor_Les-Miserables,canon,0.40838330520595423,0.5916166947940458,non_canon,False
1890_Guy-de-Maupassant_Notre-coeur,canon,0.5,0.5,canon,True
2001_Gaude-Laurent_Cris,canon,0.944991360410691,0.05500863958930883,canon,True
1931_Saint-Exupery-Antoine-de_Vol-de-nuit,canon,0.5861472907906109,0.41385270920938905,canon,True
1884_Daudet-Alphonse_Sapho,canon,0.47729864908747677,0.5227013509125232,canon,True
1846_Balzac-Honore-de_Une-tenebreuse-affaire,canon,0.6549098356152334,0.34509016438476653,canon,True
1890_Zola-Emile_La-bete-humaine,canon,0.785034870455851,0.21496512954414929,canon,True
2010_Houellebecq-Michel_La-Carte-et-le-territoire,canon,0.2876855004453362,0.7123144995546637,non_canon,False
1860_Goncourt-Edmond-de-Goncourt-Jules-de_Charles-Demailly,canon,0.5934726740478099,0.4065273259521901,canon,True
1880_Zola-Emile_Nana,canon,0.7311816123808166,0.26881838761918325,canon,True
1890_Loti-Pierre_Au-Maroc,non_canon,0.13112988224437103,0.8688701177556288,non_canon,True
1864_Gaboriau-Emile_L-argent-des-autres_I,non_canon,0.14337507418471845,0.8566249258152816,non_canon,True
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-2),non_canon,0.07105687876367875,0.9289431212363213,non_canon,True
1995_Duras-Marguerite_Ecrire,non_canon,0.8308300139608316,0.1691699860391683,canon,False
1885_Daudet-Alphonse_Tartarin-sur-les-Alpes,non_canon,0.4717123798980856,0.5282876201019144,canon,False
1848_Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette,non_canon,0.6408631358366049,0.35913686416339496,canon,False
1908_Rolland-Romain_Jean-Christophe_Tome-V-La-foire-sur-la-place,canon,0.7902407035517903,0.2097592964482096,canon,True
1931_Simenon-Georges_La-tete-d-un-homme,non_canon,0.07901333352963373,0.9209866664703663,non_canon,True
1867_Gouraud-Julie_Le-petit-colporteur,non_canon,0.2166575439461148,0.7833424560538852,non_canon,True
1878_Calonne-Alphonse-de_La-Ferme-des-moines,non_canon,0.23424893354830367,0.7657510664516963,non_canon,True
1902_Laurie-Andre_Memoires-d-un-collegien-russe,non_canon,0.3002224200057642,0.6997775799942357,non_canon,True
1893_Feval-Paul-fils_les-suites-de-lagardere_6-le-duc-de-nevers,non_canon,0.16783504513851363,0.8321649548614864,non_canon,True
