date,auteur,titre,fabula,canon
1844,honore de balzac,histoire de la grandeur et de la decadence de cesar birotteau,True,non_canon
1844,honore de balzac,l interdiction,True,non_canon
1844,honore de balzac,la maison nucingen,True,non_canon
1844,honore de balzac,la messe de l athee,True,non_canon
1844,honore de balzac,la vieille fille,True,non_canon
1844,honore de balzac,le cabinet des antiques,True,non_canon
1844,honore de balzac,le colonel chabert,True,canon
1844,honore de balzac,le lys dans la vallee,True,canon
1844,honore de balzac,les secrets de la princesse de cadignan,True,non_canon
1844,honore de balzac,pierre grassou,True,non_canon
1844,honore de balzac,sarrasine,True,non_canon
1844,honore de balzac,splendeurs et miseres des courtisanes,True,canon
1844,françois rene de chateaubriand,vie de rance,True,canon
1844,victor doublet,ezilda ou la zingara oeuvre historique et morale,False,non_canon
1844,alexandre dumas,fernande,True,non_canon
1844,alexandre dumas,les trois mousquetaires,True,canon
1844,sophie gay,ellenore,False,non_canon
1844,ecuyer eugene l,la fille du brigand,False,non_canon
1844,ecuyer eugene l,un episode de la vie d un faux devot,False,non_canon
1844,henriette etiennette fanny reybaud,rose,False,non_canon
1844,george sand,andre,True,non_canon
1844,des sablons michelle catherine josephine guespereau mme sebastien andre tarbe,onesie ou les soirees de l abbaye suivie de enguerrand ou le duel,False,non_canon
1844,eugene tavard,les effets et les causes histoire lamentable echafaudee sur une queue de billard,False,non_canon
1845,honore de balzac,adieu,True,canon
1845,honore de balzac,el verdugo,True,non_canon
1845,honore de balzac,gambara,True,non_canon
1845,honore de balzac,honorine,True,non_canon
1845,honore de balzac,jesus christ en flandre,True,non_canon
1845,honore de balzac,l auberge rouge,True,non_canon
1845,honore de balzac,l elixir de longue vie,True,non_canon
1845,honore de balzac,l enfant maudit,True,non_canon
1845,honore de balzac,la recherche de l absolu,True,non_canon
1845,honore de balzac,le chef d oeuvre inconnu,True,non_canon
1845,honore de balzac,le requisitionnaire,True,non_canon
1845,honore de balzac,les marana,True,non_canon
1845,honore de balzac,maitre cornelius,True,non_canon
1845,honore de balzac,massimilla doni,True,non_canon
1845,honore de balzac,melmoth reconcilie,True,non_canon
1845,honore de balzac,modeste mignon,True,non_canon
1845,honore de balzac,sur catherine de medicis,True,non_canon
1845,honore de balzac,un debut dans la vie,True,canon
1845,honore de balzac,un drame au bord de la mer,True,non_canon
1845,honore de balzac,une passion dans le desert,True,non_canon
1845,alexandre dumas,histoire d un casse noisette,True,non_canon
1845,alexandre dumas,la reine margot,True,canon
1845,alexandre dumas,le batard de mauleon,True,non_canon
1845,alexandre dumas,le batard de mauleon,True,non_canon
1845,alexandre dumas,le batard de mauleon,True,non_canon
1845,alexandre dumas,le chevalier de maison rouge,True,non_canon
1845,alexandre dumas,le comte de monte cristo,True,canon
1845,alexandre dumas,les freres corses,True,non_canon
1845,alexandre dumas,une fille du regent,True,non_canon
1845,alexandre dumas,vingt ans apres,True,canon
1845,paul feval,les contes de nos peres,False,non_canon
1845,gustave flaubert,la premiere education sentimentale,True,non_canon
1845,alphonse karr,voyage autour de mon jardin,False,non_canon
1845,prosper merimee,carmen,True,non_canon
1845,george sand,le meunier d angibault,True,non_canon
1845,george sand,teverino,True,non_canon
1845,eugene sue,la coucaratcha,True,non_canon
1845,eugene sue,la coucaratcha,True,non_canon
1845,eugene sue,la coucaratcha,True,non_canon
1845,eugene sue,le juif errant,True,non_canon
1845,eugene sue,le juif errant,True,non_canon
1845,eugene sue,mathilde memoires d une jeune femme,True,non_canon
1845,eugene sue,paula monti ou l hotel lambert,True,non_canon
1845,castel horace de viel,archambaud de comborn,False,non_canon
1845,joseph alexis walsh,les veillees de voyage,False,non_canon
1846,honore de balzac,autre etude de femme,True,non_canon
1846,honore de balzac,esquisse d’un homme d’affaires d apres nature,True,non_canon
1846,honore de balzac,gaudissart,True,non_canon
1846,honore de balzac,gobseck,True,non_canon
1846,honore de balzac,la femme abandonnee,True,non_canon
1846,honore de balzac,la grenadiere,True,non_canon
1846,honore de balzac,le cure de village,True,canon
1846,honore de balzac,le medecin de campagne,True,canon
1846,honore de balzac,le message,True,non_canon
1846,honore de balzac,les chouans ou la bretagne en 1799,True,non_canon
1846,honore de balzac,les employes,True,non_canon
1846,honore de balzac,les proscrits,True,non_canon
1846,honore de balzac,louis lambert,True,canon
1846,honore de balzac,l’envers de l histoire contemporaine,True,non_canon
1846,honore de balzac,physiologie du mariage,True,canon
1846,honore de balzac,seraphita,True,non_canon
1846,honore de balzac,un episode sous la terreur,True,non_canon
1846,honore de balzac,un prince de la boheme,True,non_canon
1846,honore de balzac,une fille d’eve,True,non_canon
1846,honore de balzac,une tenebreuse affaire,True,canon
1846,honore de balzac,z marcas,True,non_canon
1846,alexandre dumas,joseph balsamo memoires d un medecin,True,non_canon
1846,alexandre dumas,la dame de monsoreau,True,canon
1846,jules erckmann,les disciples d escobar,False,non_canon
1846,paul feval,la quittance de minuit,False,non_canon
1846,paul feval,la quittance de minuit,False,non_canon
1846,paul feval,le fils du diable,False,non_canon
1846,paul feval,le fils du diable,False,non_canon
1846,sophie gay,ellenore,False,non_canon
1846,patrice lacombe,la terre paternelle,False,non_canon
1846,tarbe des sablons mme,isabelle,False,canon
1846,paul de musset,monsieur le vent et madame la pluie,False,non_canon
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False,non_canon
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False,non_canon
1846,george sand,la mare au diable,True,canon
1846,george sand,lucrezia floriani,True,non_canon
1847,amedee achard,belle rose,False,non_canon
1847,honore de balzac,le depute d arcis,True,non_canon
1847,de plancy jacques collin,legende du juif errant,False,non_canon
1847,comtesse de dash,keepsake des jeunes personnes,False,non_canon
1847,alexandre dumas,les quarante cinq,True,non_canon
1847,inconnu,la bonne mere,False,non_canon
1847,richomme fanny mme,grain de sable ou le sorcier d altenbourg,False,non_canon
1847,marie mme de plagniol sainte,les bonnes eleves,False,non_canon
1847,george sand,le peche de m antoine,True,non_canon
1847,george sand,simon,True,non_canon
1847,jules sandeau,mademoiselle de la seigliere,False,non_canon
1847,eugene sue,martin l enfant trouve,True,non_canon
1847,eugene sue,martin l enfant trouve,True,non_canon
1847,eugene sue,martin l enfant trouve,True,non_canon
1847,eugene sue,martin l enfant trouve,True,non_canon
1848,honore de balzac,les parents pauvres la cousine bette,True,non_canon
1848,honore de balzac,les parents pauvres le cousin pons,True,non_canon
1848,alexandre dumas,la dame aux camelias,True,canon
1848,paul de musset,la chevre jaune,False,non_canon
1848,george sand,françois le champi,True,non_canon
1848,eugene sue,le morne au diable,True,non_canon
1848,catherine woillez,edma et marguerite ou les ruines de chatillon d azergues,False,non_canon
1849,henry berthoud,les filleules de rubens,False,non_canon
1849,françois rene de chateaubriand,memoires d outre tombe,True,canon
1849,françois rene de chateaubriand,memoires d outre tombe,True,canon
1849,françois rene de chateaubriand,memoires d outre tombe,True,canon
1849,françois rene de chateaubriand,memoires d outre tombe,True,canon
1849,françois rene de chateaubriand,memoires d outre tombe,True,canon
1849,alexandre dumas,le collier de la reine,True,non_canon
1849,alexandre dumas,les mariages du pere olifus,True,non_canon
1849,alexandre dumas,les mille et un fantomes,True,non_canon
1849,george sand,la petite fadette,True,canon
1849,eugene sue,les mysteres du peuple,True,non_canon
1849,eugene sue,les mysteres du peuple,True,non_canon
1850,anais de bassanville,le soir et le matin de la vie ou conseils aux jeunes filles,False,non_canon
1850,alexandre dumas,dieu dispose,True,non_canon
1850,alexandre dumas,dieu dispose,True,non_canon
1850,alexandre dumas,la colombe,True,non_canon
1850,alexandre dumas,la femme au collier de velours,True,non_canon
1850,alexandre dumas,la tulipe noire,True,non_canon
1850,alexandre dumas,le trou de l enfer,True,non_canon
1850,alexandre dumas,le vicomte de bragelonne,True,canon
1850,paul feval,la fee des greves,False,non_canon
1850,paul feval,les belles de nuit ou les anges de la famille,False,non_canon
1850,paul feval,les belles de nuit ou les anges de la famille,False,non_canon
1850,inconnu,un roman sous l empire,False,non_canon
1850,alphonse de lamartine,genevieve  histoire d une servante,True,non_canon
1850,eugene sue,les mysteres du peuple,True,non_canon
1851,henry ceard,belle journee,False,non_canon
1851,alexandre dumas,ange pitou,True,non_canon
1851,alexandre dumas,olympe de cleves,True,non_canon
1851,alexandre dumas,olympe de cleves,True,non_canon
1851,alexandre dumas,olympe de cleves,True,non_canon
1851,edmond de goncourt jules de goncourt,en 18,True,non_canon
1851,george sand,histoire du veritable gribouille,True,non_canon
1851,george sand,le chateau des desertes,True,non_canon
1851,emile souvestre,les derniers paysans,False,non_canon
1851,emile souvestre,les derniers paysans,False,non_canon
1851,emile souvestre,un philosophe sous les toits,False,non_canon
1851,eugene sue,les mysteres du peuple,True,non_canon
1852,zulma tourangin mme carraud,la petite jeanne,False,non_canon
1852,alexandre dumas,conscience l innocent,True,non_canon
1852,alexandre dumas,la comtesse de charny,True,non_canon
1852,paul feval,la reine des epees,False,non_canon
1852,alphonse de lamartine,graziella,True,non_canon
1852,du terrail pierre ponson,la baronne trepassee,False,non_canon
1852,du terrail pierre ponson,les cavaliers de la nuit,False,non_canon
1852,emile souvestre,comtes,False,non_canon
1852,emile souvestre,dans la prairie,False,non_canon
1853,chamfleury,les souffrances du professeur delteil,False,non_canon
1853,champfleury,les aventures de mademoiselle mariette,False,non_canon
1853,de la giraudiere hippolyte de chavannes,les petits voyageurs en californie,False,non_canon
1853,gustave desnoiresterres,un amour en diligence,False,non_canon
1853,camp maxime du,memoires d'un suicide,False,non_canon
1853,alexandre dumas,les drames de la mer,True,non_canon
1853,leon gozlan,les vendanges,False,non_canon
1853,alphonse karr,les femmes,False,non_canon
1853,jules poulain,le dartmoor ou les deux soeurs scenes de la vie anglaise,False,non_canon
1853,george sand,la fauvette du docteur,True,non_canon
1853,george sand,les maitres sonneurs,True,non_canon
1853,eugene sue,les mysteres du peuple,True,non_canon
1853,pierre zaccone,eric le mendiant,False,non_canon
1854,d aurevilly jules barbey,l ensorcelee,True,canon
1854,charles barthelemy,histoire de la bretagne ancienne et moderne,False,non_canon
1854,anais de bassanville,les primeurs de la vie ou bonheurs joies et douleurs de la jeunesse,False,non_canon
1854,de plancy jacques collin,les tribulations de robillard,False,non_canon
1854,alexandre dumas,catherine blum,True,non_canon
1854,alexandre dumas,la jeunesse de pierrot,True,non_canon
1854,alexandre dumas,le capitaine richard,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,alexandre dumas,les mohicans de paris,True,non_canon
1854,paul feval,les parvenus,False,non_canon
1854,alphonse karr,histoire d un pion,False,non_canon
1854,gerard de nerval,promenades et souvenirs,True,non_canon
1855,honore de balzac,les paysans,True,canon
1855,honore de balzac,les petits bourgeois,True,non_canon
1855,charles barbara,l'assassinat du pont rouge,False,non_canon
1855,eugene chapus,les soirees de chantilly,False,non_canon
1855,alexandre dumas,la derniere annee de marie dorval,True,non_canon
1855,alexandre dumas,le page du duc de savoie,True,non_canon
1855,alexandre dumas,le page du duc de savoie,True,non_canon
1855,alexandre dumas,le page du duc de savoie,True,non_canon
1855,paul feval,oeuvres,False,non_canon
1855,jules gerard,la chasse au lion,False,non_canon
1855,gerard de nerval,aurelia,True,non_canon
1855,louis reybaud,la vie de l employe,False,non_canon
1855,louis reybaud,scenes de la vie moderne,False,non_canon
1855,l. roche,la maison du dimanche,False,non_canon
1855,george sand,kourroglou,True,non_canon
1855,george sand,melchior,True,non_canon
1855,armand de solignac,le gateau des rois souvenirs d enfance,False,non_canon
1855,stendhal,chroniques italiennes,True,canon
1855,louis ulbach,l amour et la mort,False,non_canon
1856,alexandre dumas,memoires d une aveugle,True,non_canon
1856,alexandre dumas,un cadet de famille,True,non_canon
1856,paul feval,la louve,False,non_canon
1856,paul feval,la louve,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,non_canon
1856,theophile gautier,avatar,True,non_canon
1856,gerard de nerval,le marquis de fayolle,True,non_canon
1856,pierre sales,le sergent renaud aventures parisiennes,False,non_canon
1856,edmond auguste texier,amour et finance,False,non_canon
1857,edmond about,germaine,False,non_canon
1857,edmond about,le roi des montagnes,False,non_canon
1857,gustave aimard,les trappeurs de l arkansas,False,non_canon
1857,alexandre dumas,le meneur de loups,True,non_canon
1857,alexandre dumas,les compagnons de jehu,True,non_canon
1857,octave feuillet,la petite comtesse,False,non_canon
1857,paul feval,le bossu,False,canon
1857,paul feval,les compagnons du silence,False,non_canon
1857,paul feval,les compagnons du silence,False,non_canon
1857,paul feval,les errants de la nuit,False,non_canon
1857,gustave flaubert,madame bovary,True,canon
1857,rounat charles de la,la comedie de l amour,False,non_canon
1857,du terrail pierre ponson,l heritage mysterieux,False,non_canon
1857,e. quix,la journee d un philosophe,False,non_canon
1857,george sand,les dames vertes,True,non_canon
1857,frederic soulie,le magnetiseur,False,non_canon
1857,louis ulbach,les roues sans le savoir,False,non_canon
1857,louis ulbach,parents coupables memoires d un lyceen,False,non_canon
1858,amedee achard,madame rose,False,non_canon
1858,alexandre dumas,black,True,non_canon
1858,alexandre dumas,jane,True,non_canon
1858,octave feuillet,le roman d un jeune homme pauvre,False,non_canon
1858,paul feval,la fabrique de mariages,False,non_canon
1858,paul feval,la fabrique des mariages,False,non_canon
1858,theophile gautier,le roman de la momie,True,non_canon
1858,julie gouraud,les vacances d yvonne,False,non_canon
1858,du terrail pierre ponson,le club des valets de coeurs,False,non_canon
1858,elise de pressense,rosa,False,non_canon
1858,george sand,legendes rustiques,True,non_canon
1858,george sand,les beaux messieurs de bois dore,True,non_canon
1858,george sand,les beaux messieurs de bois dore,True,non_canon
1858,anatole henri philippe de segur,les memoires d un troupier,False,non_canon
1858,comtesse de segur,les malheurs de sophie,False,canon
1858,comtesse de segur,les petites filles modeles,False,non_canon
1858,emile souvestre,scenes de la chouannerie,False,non_canon
1858,eugene sue,miss mary ou l institutrice,True,non_canon
1858,louis veuillot,l honnete femme,False,non_canon
1859,gustave aimard,l eclaireur,False,non_canon
1859,alexandre dumas,le fils du forçat,True,non_canon
1859,alexandre dumas,les louves de machecoul,True,non_canon
1859,alexandre dumas,sultanetta,True,non_canon
1859,paul feval,la maison de pilate,False,non_canon
1859,paul feval,le roi des gueux,False,non_canon
1859,mathilde grangier,amour et devoir,False,non_canon
1859,inconnu,les soirees du pere laurent,False,non_canon
1859,felicien mallefille,monsieur corbeau,False,non_canon
1859,paul de musset,lui et elle,False,non_canon
1859,du terrail pierre ponson,les chevaliers du clair de lune,False,non_canon
1859,du terrail pierre ponson,les exploits de rocambole,False,non_canon
1859,du terrail pierre ponson,les exploits de rocambole,False,non_canon
1859,du terrail pierre ponson,les exploits de rocambole,False,non_canon
1859,x b. saintine,metamorphoses de la femme,False,non_canon
1859,george sand,elle et lui,True,non_canon
1859,comtesse de segur,les vacances,False,non_canon
1859,emile souvestre,les reprouves et les elus,False,non_canon
1859,emile souvestre,les reprouves et les elus,False,non_canon
1859,florence strub,l ermite de vallombreuse suivi de madeleine,False,non_canon
1859,louis ulbach,pauline foucault,False,non_canon
1860,alfred assollant,histoire fantastique du celebre pierrot,False,non_canon
1860,alexandre dumas,jacquot sans oreilles,True,non_canon
1860,alexandre dumas,l horoscope,True,non_canon
1860,alexandre dumas,une aventure d amour,True,non_canon
1860,chatrian erckmann,contes fantastiques,False,canon
1860,paul feval,le chevalier tenebre,False,non_canon
1860,paul feval,le medecin bleu,False,non_canon
1860,edmond de goncourt jules de goncourt,charles demailly,True,canon
1860,jules noriac,la betise humaine,False,non_canon
1860,ange pechmeja,rosalie nouvelle,False,non_canon
1860,du terrail pierre ponson,les chevaliers du clair de lune,False,non_canon
1860,d anglemont alexandre privat,paris anecdote,False,non_canon
1860,aricie courbatere mme sauquet,les veillees du pensionnat,False,non_canon
1860,comtesse de segur,les memoires d un ane,False,non_canon
1860,louis ulbach,l ile des reves,False,non_canon
1860,emilie de vars,une deception,False,non_canon
1860,anduze henri vie,dernier amour de cinq mars roman historique,False,non_canon
