bac,brevet,lm,sup,prix,gf,pleiade,gouv
falaises,chat en poche,maurice maeterlinck,les lettres de la marquise de… au comte de…,vendredi ou les limbes du pacifique,peines de coeur d une chatte anglaise,tacite,la défense et illustration de la langue française
de jean coste,mémoires d'une jeune fille rangée,henri de regnier,les gommes / la jalousie,le premier accroc coete deux cents francs,l enfant,jules verne,une vie
dictionnaire egoiste de litterature française,poèmes et chansons,francis jammes,erec et enide,le destin de iouri voronine,william shakespeare,sade,histoire d'une mère
une feuille de hetre,le roman de renart,paul fort,discours des misères de ce temps,de goupilmargot,un adolescent d autrefois,françois rene de chateaubriand,oeuvres complètes
la servante au grand coeur,théâtre intime,saint pol roux,les aventures de télémaque,le temps de la longue patience,mademoiselle fifi,louis aragon,sensations
lettre a frederic ii,le bal des voleur,anna de noailles,la surprise de l’amour /  la seconde surprise de l’amour / le jeu de l’amour et du hasard,les demoiselles de beaumoreau,le cure de tours,jacques de voragine,l'ile mystérieuse
apres la bataille,la formation de l'acteur,p  j  toulet,poésies / une saison en enfer,chagrin d ecole,la dame de pique   les nuits egyptiennes et autres nouvelles,boris vian,histoire de l'art
"""la salade""",l'apiculteur,jules romains,en attendant godot / oh les beaux jours,le corps du roi,vingt mille lieues sous les mers,marguerite yourcenar,mémoires d'un âne
les voiles,les petits bonheurs,blaise cendrars,le jeu de la feuillée,les deferlantes,le proces,emile zola,traduction de leconte de lisle
a louise colet,la place,guillaume apollinaire,nouvelles récréations et joyeux devis,gemmes et moires,boris godounov   theâtre complet,arthur rimbaud,le ventre de paris
le roman comique,l'amant,edmond rostand,œuvres poétiques,en france,la conquête de plassans,edgar allan poe,le paradis perdu
fonction du poete,dires étonnants des astrologues,hervieu,dictionnaire philosophique,l araigne,l affaire dreyfus,thomas de quincey,paul et virginie
lorenzaccio,un long dimanche de fiançailles,f  de curel,hernani,l homme de sable,ecrits sur l art,andre chenier,les chants de maldoror
le neveu de rameau,le voile noir,porto riche,sous le soleil de satan,le dernier des justes,nouvelles galantes du xviie siecle,blaise de monluc,les orientales
prose du transsiberien et de la petite jeanne de france,à plein tube !,tristan bernard,"le roman de renart (i, ia, ib)",la flamme au poing,le grand meaulnes,jules supervielle,critique de la raison pure
caracteres,marthe et jean,flers et caillavet,la deffence et illustration de la langue françoyse et l'olive,princesses de science,hugo journaliste,françois de malherbe,les aventures de tom sawyer
une vie,bleus sont les étés,courteline,"antigone, venceslas et le véritable saint-genest",la petite franeaise,contes de la becassel ingenuiliade,euripide,louis lambert
la nuit et les sources,que ma joie demeure,jarry,"salons (essais sur la peinture, salons de 1759, 1761, 1763)",l homme seur,le temps de l innocence,claude levi strauss,les démoniaques dans l'art
vendredi ou les limbes du pacifique,la chanson de hannah,begson,"poèmes saturniens, fêtes galantes, et romances sans paroles",moment d un couple,les diaboliques,emil cioran,un capitaine de quinze ans
ville-champignon,le jeune homme,jaures,un balcon en forêt et la presqu'île,au revoir le haut,la philosophie dans le boudoir,michel tournier,les rougon-macquart
air de solitude,désert,maurras,suite au roman de merlin (attribuée à robert de boron),tlacuilo,albertine disparue,paul morand,voyage au centre de la terre
la legende de l'homme a la cervelle d'or,propos,anatole france,l'adolescence clémentine,le rocher de tanios,fabliaux du moyen âge,dante,vapeurs : ni vers
l'ile des esclaves,l'enfant de noé,paul bourget,"l'amour médecin, monsieur de pourceaugnac et le malade imaginaire",mort en fraude,de la litterature,ernst jünger,les contemplations
le livre ouvert,ellis island,romain rolland,cleveland,la derniere conference,mademoiselle de maupin,pierre corneille,l'aiglon
lettre a paul demeny,une vie,maurice barres,itinéraire de paris à jérusalem,le veilleur de nuit,rêve de valse,antoine de saint exupery,correspondance et souvenirs intimes
