date,auteur,titre,fabula
1845,honore de balzac,la recherche de l absolu,True
1845,honore de balzac,le chef d oeuvre inconnu,True
1845,honore de balzac,le requisitionnaire,True
1845,honore de balzac,les marana,True
1845,honore de balzac,maitre cornelius,True
1845,honore de balzac,massimilla doni,True
1845,honore de balzac,melmoth reconcilie,True
1845,honore de balzac,modeste mignon,True
1845,honore de balzac,sur catherine de medicis,True
1845,honore de balzac,un debut dans la vie,True
1845,honore de balzac,un drame au bord de la mer,True
1845,honore de balzac,une passion dans le desert,True
1845,alexandre dumas,histoire d un casse noisette,True
1845,alexandre dumas,la reine margot,True
1845,alexandre dumas,le batard de mauleon,True
1845,alexandre dumas,le batard de mauleon,True
1845,alexandre dumas,le batard de mauleon,True
1845,alexandre dumas,le chevalier de maison rouge,True
1845,alexandre dumas,le comte de monte cristo,True
1845,alexandre dumas,les freres corses,True
1845,alexandre dumas,une fille du regent,True
1845,alexandre dumas,vingt ans apres,True
1845,paul feval,les contes de nos peres,False
1845,gustave flaubert,la premiere education sentimentale,True
1845,alphonse karr,voyage autour de mon jardin,False
1845,prosper merimee,carmen,True
1845,george sand,le meunier d angibault,True
1845,george sand,teverino,True
1845,eugene sue,la coucaratcha,True
1845,eugene sue,la coucaratcha,True
1845,eugene sue,la coucaratcha,True
1845,eugene sue,le juif errant,True
1845,eugene sue,le juif errant,True
1845,eugene sue,mathilde memoires d une jeune femme,True
1845,eugene sue,paula monti ou l hotel lambert,True
1845,castel horace de viel,archambaud de comborn,False
1845,joseph alexis walsh,les veillees de voyage,False
1846,honore de balzac,autre etude de femme,True
1846,honore de balzac,esquisse d’un homme d’affaires d apres nature,True
1846,honore de balzac,gaudissart,True
1846,honore de balzac,gobseck,True
1846,honore de balzac,la femme abandonnee,True
1846,honore de balzac,la grenadiere,True
1846,honore de balzac,le cure de village,True
1846,honore de balzac,le medecin de campagne,True
1846,honore de balzac,le message,True
1846,honore de balzac,les chouans ou la bretagne en 1799,True
1846,honore de balzac,les employes,True
1846,honore de balzac,les proscrits,True
1846,honore de balzac,louis lambert,True
1846,honore de balzac,l’envers de l histoire contemporaine,True
1846,honore de balzac,physiologie du mariage,True
1846,honore de balzac,seraphita,True
1846,honore de balzac,un episode sous la terreur,True
1846,honore de balzac,un prince de la boheme,True
1846,honore de balzac,une fille d’eve,True
1846,honore de balzac,une tenebreuse affaire,True
1846,honore de balzac,z marcas,True
1846,alexandre dumas,joseph balsamo memoires d un medecin,True
1846,alexandre dumas,la dame de monsoreau,True
1846,jules erckmann,les disciples d escobar,False
1846,paul feval,la quittance de minuit,False
1846,paul feval,la quittance de minuit,False
1846,paul feval,le fils du diable,False
1846,paul feval,le fils du diable,False
1846,sophie gay,ellenore,False
1846,patrice lacombe,la terre paternelle,False
1846,tarbe des sablons mme,isabelle,False
1846,paul de musset,monsieur le vent et madame la pluie,False
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False
