date,auteur,titre,fabula,canonicity_1,canonicity_2
1855,louis reybaud,la vie de l employe,False,0,0
1855,louis reybaud,scenes de la vie moderne,False,0,0
1855,l. roche,la maison du dimanche,False,0,0
1855,george sand,kourroglou,True,3,3
1855,george sand,melchior,True,3,3
1855,armand de solignac,le gateau des rois souvenirs d enfance,False,0,0
1855,stendhal,chroniques italiennes,True,5,4
1855,louis ulbach,l amour et la mort,False,0,0
1856,alexandre dumas,memoires d une aveugle,True,3,3
1856,alexandre dumas,un cadet de famille,True,3,3
1856,paul feval,la louve,False,0,0
1856,paul feval,la louve,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False,0,0
1856,theophile gautier,avatar,True,3,3
1856,gerard de nerval,le marquis de fayolle,True,3,3
1856,pierre sales,le sergent renaud aventures parisiennes,False,0,0
1856,edmond auguste texier,amour et finance,False,0,0
1857,edmond about,germaine,False,0,0
1857,edmond about,le roi des montagnes,False,0,0
1857,gustave aimard,les trappeurs de l arkansas,False,0,0
1857,alexandre dumas,le meneur de loups,True,3,3
1857,alexandre dumas,les compagnons de jehu,True,3,3
1857,octave feuillet,la petite comtesse,False,0,0
1857,paul feval,le bossu,False,2,2
1857,paul feval,les compagnons du silence,False,0,0
1857,paul feval,les compagnons du silence,False,0,0
1857,paul feval,les errants de la nuit,False,0,0
1857,gustave flaubert,madame bovary,True,5,5
1857,rounat charles de la,la comedie de l amour,False,0,0
1857,du terrail pierre ponson,l heritage mysterieux,False,0,0
1857,e. quix,la journee d un philosophe,False,0,0
1857,george sand,les dames vertes,True,3,3
1857,frederic soulie,le magnetiseur,False,0,0
1857,louis ulbach,les roues sans le savoir,False,0,0
1857,louis ulbach,parents coupables memoires d un lyceen,False,0,0
1858,amedee achard,madame rose,False,0,0
1858,alexandre dumas,black,True,3,3
1858,alexandre dumas,jane,True,3,3
1858,octave feuillet,le roman d un jeune homme pauvre,False,0,0
1858,paul feval,la fabrique de mariages,False,0,0
1858,paul feval,la fabrique des mariages,False,0,0
1858,theophile gautier,le roman de la momie,True,3,3
1858,julie gouraud,les vacances d yvonne,False,0,0
1858,du terrail pierre ponson,le club des valets de coeurs,False,0,0
1858,elise de pressense,rosa,False,0,0
1858,george sand,legendes rustiques,True,3,3
1858,george sand,les beaux messieurs de bois dore,True,3,3
1858,george sand,les beaux messieurs de bois dore,True,3,3
1858,anatole henri philippe de segur,les memoires d un troupier,False,0,0
1858,comtesse de segur,les malheurs de sophie,False,2,1
1858,comtesse de segur,les petites filles modeles,False,0,0
1858,emile souvestre,scenes de la chouannerie,False,0,0
1858,eugene sue,miss mary ou l institutrice,True,3,3
1858,louis veuillot,l honnete femme,False,0,0
