auteur,nb_roman
eugene nyon,1
jacques chessex,1
claude tillier,1
deschenes gustave louis ferdinand parseval,1
fezensac robert de montesquiou,1
gilbert thierry,1
henri leriche,1
l. roche,1
d g. a,1
edouard louis,1
albert cohen,1
francisque monnet,1
fournier alain,1
maxime du camp,1
maurice druon,1
roger ikor,1
alice zeniter,1
henri escoffier,1
b de buxy,1
robert  macaire,1
camille flammarion,1
paul avenel,1
pierre very,1
georges thurner,1
pierre henri cami,1
guy chantepleure,1
frederic mistral,1
eugene rosary,1
bertrand etievant a. millanvoye,1
clementine melois,1
claire de durfort duras,1
elemir bourges,1
pauline reage,1
louis gallet,1
roger vailland,1
maurice fourre,1
henriette etiennette fanny reybaud,1
laurent olivier david,1
alberic glady,1
philippe tonelli,1
jules cornely,1
mme de husson,1
patrick deville,1
pierre combescot,1
camille de toledo,1
frederic soulie,1
bretejean de la,1
albert dupuit,1
l. r,1
agnes desarthe,1
marie mme de plagniol sainte,1
d hautpoul anne marie de beaufort,1
octave fere,1
jules girardin,1
sony labou tansi,1
alexandre de lavergne,1
camp maxime du,1
jules taulier,1
pascal laine,1
delorme marie,1
boualem sansal,1
la varende jean de,1
louis rousselet,1
maurice montegut,1
victor doublet,1
marcel nadaud,1
georges pradel,1
roy albert le,1
blaise cendrars,1
etienne marcel,1
danielle thiery,1
henri malin,1
vercors,1
xavier saintine,1
mathilde grangier,1
maurice barrès,1
ennery adolphe d,1
cesarie farrenc,1
delphine de vigan,1
marie sabine roger,1
ernest lavigne,1
paul parfait,1
jules poulain,1
jeanne marcel,1
charles cauvain jules deslys,1
edmond auguste texier,1
constant amero,1
jules erckmann,1
gustave marchal,1
ernest rasetti,1
edouard delpit,1
desgranges joseph poisle,1
clemence robert,1
juliette adam,1
febvre victor le,1
louise michel,1
nathalie leger,1
aricie courbatere mme sauquet,1
robert de nervo,1
alexis jenni,1
renee paul strauss,1
ernest psichari,1
a job,1
félicien champsaur,1
andoine volodine,1
jules sandeau,1
lucien descaves,1
edmond de goncourt,1
de l isle adam villiers,1
eugene ionesco,1
pierre sales,1
jean rameau,1
michel leiris,1
paul dumanoir,1
eric reinhardt,1
astolphe de custine,1
diaye marie n,1
albert robida,1
henri thomas,1
adolphe poignant,1
michael ferrier,1
louis morin,1
eugene fromentin,1
jocelyn sernhac,1
ernest renan,1
pierre mille,1
de cassagnac adolphe granier,1
charles d hericault,1
maurice sand,1
marie lebourgeois,1
ernest legouve,1
marie nimier,1
henri de lacretelle,1
chamfleury,1
isa porie,1
francois mauriac,1
jules janin,1
a. tholmey,1
eugene tavard,1
lucien rebatet,1
roger vercel,1
d. peregrine,1
lucien biart,1
eugene noel,1
fabie françois,1
sylvain tesson,1
françois leon saint,1
paul vernier,1
comte de lautreamont,1
albert laberge,1
hippolyte mettais,1
robert antelme,1
andre beaunier,1
gustave ricouard,1
marie cardinal,1
andre lafon,1
patrice lacombe,1
cloe korman,1
laurence de savigny,1
anna de noailles,1
jules de glouvet,1
henri de chabrillat,1
theodore giberton,1
des cars guy,1
pierre blanchard,1
auguste lacroix,1
patrick roegiers,1
marie le harivel de gonneville mirabeau,1
maria della rocca,1
champfleury,1
camille allary,1
simeon chaumier,1
henry berthoud,1
rene saint juirs delorme,1
le duc eugene emmanuel viollet,1
laurent nunez,1
lacuzon jules prost,1
felix jules de saint,1
henri de regnier,1
coster charles de,1
pierre veber,1
a.d.g,1
vallon georges du,1
de laforest jean louis dubust,1
hippolyte verly,1
de sansay louis adolphe turpin,1
claire de duras,1
jacques chardonne,1
roux hugues le,1
françois coppee,1
daniel stern,1
pierre borromee,1
felicien marceau,1
eudoxie dupuis,1
albert ades,1
lebrun pigault,1
gabriel montoya,1
marie robert halt,1
louis letang,1
anna geiger,1
mme ha dges montovar,1
albert kaempfen,1
joseph gobineau,1
roger nimier,1
rive william de la,1
alfred jarry,1
paule constant,1
charles de ribelle,1
francis wey,1
comtesse de sannois,1
