,doc_name,date,auteur,titre,canon_roman,canon_auteur,gender,bac,brevet,lm,sup,prix,gf,pleiade,gouv
60,1832_Corbiere-Edouard_Les-pilotes-de-l-Iroise,1832,edouard corbiere,les pilotes de l iroise,non_canon,False,male,0,0,0,0,0,0,0,0
61,1832_Desprez-Ernest_Un-enfant_tome-1,1832,ernest desprez,un enfant,non_canon,False,male,0,0,0,0,0,0,0,0
62,1832_Desprez-Ernest_Un-enfant_tome-2,1832,ernest desprez,un enfant,non_canon,False,male,0,0,0,0,0,0,0,0
63,1832_Desprez-Ernest_Un-enfant_tome-3,1832,ernest desprez,un enfant,non_canon,False,male,0,0,0,0,0,0,0,0
64,1832_Karr-Alphonse_Sous-les-tilleuls,1832,alphonse karr,sous les tilleuls,non_canon,False,male,0,0,0,0,0,0,0,0
65,1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees-publiee-par-M-de-Faverolle__tome-2),1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees publiee par m de faverolle,non_canon,False,female,0,0,0,0,0,0,0,0
66,1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees__tome-1),1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees,non_canon,False,female,0,0,0,0,0,0,0,0
67,1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees__tome-3),1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees,non_canon,False,female,0,0,0,0,0,0,0,0
68,1832_Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees__Tome-4),1832,elisabeth brossin de mere,le parc aux cerfs ou histoire secrete des jeunes demoiselles qui y ont ete renfermees,non_canon,False,female,0,0,0,0,0,0,0,0
69,1832_Sand-George_Indiana,1832,george sand,indiana,non_canon,True,female,0,0,1,0,0,0,1,0
70,1832_Sand-George_La-Marquise,1832,george sand,la marquise,non_canon,True,female,0,0,1,0,0,0,1,0
71,1832_Sand-George_Valentine,1832,george sand,valentine,non_canon,True,female,0,0,1,0,0,0,1,0
72,1832_Vigny-Alfred-de_Stello,1832,alfred de vigny,stello,canon,True,male,0,0,1,0,0,1,1,0
73,1833_Corbiere-Edouard_La-mer-et-les-marins-Scenes-maritimes,1833,edouard corbiere,la mer et les marins scenes maritimes,non_canon,False,male,0,0,0,0,0,0,0,0
74,1833_Dumas-Alexandre_Impressions-de-voyage-en-Suisse,1833,alexandre dumas,impressions de voyage en suisse,non_canon,True,male,0,0,0,0,0,0,1,0
75,1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux,1833,delphine de girardin,contes d une vieille fille a ses neveux,non_canon,False,female,0,0,0,0,0,0,0,0
76,1833_Karr-Alphonse_Une-heure-trop-tard,1833,alphonse karr,une heure trop tard,non_canon,False,male,0,0,0,0,0,0,0,0
77,1833_Musset-Alfred-de_Gamiani-ou-Deux-Nuits-d-Exces,1833,alfred de musset,gamiani ou deux nuits d exces,non_canon,True,male,0,0,1,0,0,0,1,0
78,1833_Sand-George_Lavinia,1833,george sand,lavinia,non_canon,True,female,0,0,1,0,0,0,1,0
79,1833_Sand-George_Lelia,1833,george sand,lelia,non_canon,True,female,0,0,1,0,0,0,1,0
80,1833_Sand-George_Metella,1833,george sand,metella,non_canon,True,female,0,0,1,0,0,0,1,0
81,1833_Servan-Felix_Claudia-ou-Les-prieres-d-une-jeune-fille,1833,felix servan,claudia ou les prieres d une jeune fille,non_canon,False,male,0,0,0,0,0,0,0,0
82,1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-2,1834,charles victor arlincourt,le brasseur roi,non_canon,False,male,0,0,0,0,0,0,0,0
83,1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-3,1834,charles victor arlincourt,le brasseur roi,non_canon,False,male,0,0,0,0,0,0,0,0
84,1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-4,1834,charles victor arlincourt,le brasseur roi,non_canon,False,male,0,0,0,0,0,0,0,0
85,1834_Arlincourt_Charles-Victor_Le-brasseur-roi_tome-1_remastered,1834,arlincourt,charles victor,non_canon,False,male,0,0,0,0,0,0,0,0
86,1834_Dumas-Alexandre-Pere_Un-coup-de-feu-et-autres-nouvelles,1834,alexandre pere dumas,un coup de feu et autres nouvelles,non_canon,True,male,0,0,0,0,0,0,0,0
87,1834_Foa-Eugenie_La-Femme-a-la-mode,1834,eugenie foa,la femme a la mode,non_canon,False,female,0,0,0,0,0,0,0,0
88,1834_Hugo-Victor_Claude-Gueux,1834,victor hugo,claude gueux,canon,True,male,0,1,1,0,0,1,1,1
89,1834_Sainte-Beuve_Volupte-1,1834,beuve sainte,volupte 1,canon,True,male,0,0,0,0,0,0,0,0
90,1834_Sainte-Beuve_Volupte-2,1834,beuve sainte,volupte 2,canon,True,male,0,0,0,0,0,0,0,0
